 id,pelicula,ano estreno,director
1,forest gump,1994,robert zemeckis
2,titanic,1997,james cameron
3,el padrino,1972,francis ford coppola
4,gladiator,2000,ridley scott
5,el senor de los anillos: el retorno del rey,2003,peter jackson
6,el caballero oscuro,2008,christopher nolan
7,cadena perpetua,1994,frank darabont
8,piratas del caribe: la maldicion de la perla negra,2003,gore verbinski
9,braveheart,1995,mel gibson
10,la lista de schindler,1993,steven spielberg
11,toy story,1995,john lasseter
12,eduardo manostijeras,1990,tim burton
13,el senor de los anillos: la comunidad del anillo,2001,peter jackson
14,salvar al soldado ryan,1998,steven spielberg
15,regreso al futuro,1985,robert zemeckis
16,monstruos s.a.,2001,pete docter
17,buscando a nemo,2003,andrew stanton
18,el senor de los anillos: las dos torres,2002,peter jackson
19,harry potter y el prisionero de azkaban,2004,alfonso cuaron
20,american history x,1998,tony kaye
21,300,2007,zack snyder
22,el sexto sentido,1999,m. night shyamalan
23,pulp fiction,1994,quentin tarantino
24,v de vendetta,2005,james mcteigue
25,el silencio de los corderos,1991,jonathan demme
26,rocky,1976,john g. avildsen
27,el club de la pelea,1999,david fincher
28,e.t,1982,steven spielberg
29,parque jurasico,1993,steven spielberg
30,matrix,1999,andy y lana wachowski
31,la milla verde,1999,frank darabont
32,ratatouille,2007,brad bird
33,grease,1978,randal kleiser
34,el padrino. parte ii,1974,francis ford coppola
35,wall-e,2008,andrew stanton
36,iron man,2008,jon favreau
37,el exorcista,1973,william friedkin
38,piratas del caribe: el cofre del hombre muerto,2006,gore verbinski
39,seven,1995,david fincher
40,terminator 2: el juicio final,1991,james cameron
41,el resplandor,1980,stanley kubrick
42,hombres de negro,1997,barry sonnenfeld
43,spider-man,2002,sam raimi
44,regreso al futuro ii,1989,robert zemeckis
45,el show de truman,1998,peter weir
46,toy story 2,1999,john lasseter
47,pesadilla antes de navidad,1993,henry selick
48,star wars. episodio iv: una nueva esperanza,1977,george lucas
49,saw,2004,james wan
50,terminator,1984,james cameron
51,kill bill vol. 1,2003,quentin tarantino
52,lo que el viento se llevo,1939,victor fleming
53,el laberinto del fauno,2006,guillermo del toro
54,los increibles,2004,brad bird
55,el viaje de chihiro,2001,hayao miyazaki
56,el precio del poder,1983,brian de palma
57,king kong,2005,peter jackson
58,ben-hur,1959,william wyler
59,indiana jones y la ultima cruzada,1989,steven spielberg
60,infiltrados,2006,martin scorsese
61,entrevista con el vampiro,1994,neil jordan
62,batman begins,2005,christopher nolan
63,en busca del arca perdida,1981,steven spielberg
64,star wars. episodio iii: la venganza de los sith,2005,george lucas
65,alien,1979,ridley scott
66,el bueno el feo y el malo,1966,sergio leone
67,star wars. episodio v: el imperio contraataca,1980,irvin kershner
68,el padrino. parte iii,1990,francis ford coppola
69,star wars. episodio vi: el retorno del jedi,1983,richard marquand
70,escuela de rock,2003,richard linklater
71,el planeta de los simios,1968,franklin j. schaffner
72,rambo,1982,ted kotcheff
73,full metal jacket,1987,stanley kubrick
74,tiburon,1975,steven spielberg
75,el profesional,1994,luc besson
76,american beauty,1999,sam mendes
77,casablanca,1942,michael curtiz
78,amelie,2001,jean-pierre jeunet
79,trainspotting,1996,danny boyle
80,axi driver,1976,martin scorsese
81,alguien volo sobre el nido del cuco,1975,milos forman
82,kill bill vol. 2,2004,quentin tarantino
83,spider-man 2,2004,sam raimi
84,x-men 2,2003,bryan singer
85,transformers,2007,michael bay
86,star wars. episodio i: la amenaza fantasma,1999,george lucas
87,blade runner,1982,ridley scott
88,apocalypse now,1979,francis ford coppola
89,mejor... imposible,1997,james l. brooks
90,la vida de brian,1979,terry jones
91,el libro de la selva,1967,wolfgang reitherman
92,los cazafantasmas,1984,ivan reitman
93,sweeney todd: el barbero diabolico de la calle fleet,2007,tim burton
94,ocean's eleven,2001,steven spielberg
95,blancanieves y los siete enanitos,1937,david hand
96,predator,1987,john mctiernan
97,indiana jones y el templo maldito,1984,steven spielberg
98,uno de los nuestros,1990,martin scorsese
99,mouling rouge,2001,baz luhrmann
100,psicosis,1960,alfred hitchcock
